,Property_Name,Price_in_INR,No_of_Bedroom,Property_type
3419,"Sussex Road, Warley, Brentwood",53005000,6,3 bedroom semi-detached house for sale
3420,"High Street, Brentwood",65196150,5,4 bedroom detached bungalow for sale
3421,"Orchard Lane, Pilgrims Hatch, Brentwood",20671950,1,2 bedroom apartment for sale
3422,"Beech Spinney, Lorne Road, CM14",34453250,3,2 bedroom apartment for sale
3423,"Kings Road, Brentwood, CM14",20141900,5,1 bedroom apartment for sale
3424,"Junction Road, Warley, Brentwood, Essex, CM14",137282950,2,6 bedroom detached house for sale
3425,"Hall Lane, Shenfield, Brentwood",71556750,4,3 bedroom semi-detached house for sale
3426,"Hall Lane, Shenfield, Brentwood",63606000,2,3 bedroom semi-detached house for sale
3427,"Bishops Hall Road, Pilgrims Hatch, Brentwood, CM15",58305500,1,2 bedroom detached bungalow for sale
3428,"Shortcroft, Kelvedon Hatch, Brentwood",84808000,4,4 bedroom detached house for sale
3429,"Wyatts Green Road, Wyatts Green",60955750,3,4 bedroom detached house for sale
3430,"Plovers Mead, Wyatts Green, Brentwood",56715350,1,2 bedroom apartment for sale
3431,"The Galleries, Warley, Brentwood",106010000,3,4 bedroom semi-detached house for sale
3432,"Alexander Lane, Hutton, CM13",55655250,2,5 bedroom end of terrace house for sale
3433,"Jason Close, Brentwood CM14",37103500,2,2 bedroom end of terrace house for sale
3434,"Kelvedon Green, Kelvedon Hatch, Brentwood, Essex, CM15",60955750,3,4 bedroom detached house for sale
3435,"Plovers Mead, Brentwood",55655250,3,3 bedroom semi-detached house for sale
3436,"Queenswood Avenue, Hutton, Brentwood",84808000,2,5 bedroom semi-detached house for sale
3437,"Ongar Road, Brentwood, CM15",50354750,4,3 bedroom semi-detached house for sale
3438,"Lime Grove, Doddinghurst, Brentwood",80037550,4,4 bedroom detached bungalow for sale
3439,"Spring Pond Meadow, Hook End, Brentwood",116611000,2,4 bedroom detached house for sale
3440,"Doddinghurst Road, Pilgrims Hatch, Brentwood",159015000,2,6 bedroom detached house for sale
3441,"Weston Close, Hutton Burses, Brentwood",82687800,2,5 bedroom detached bungalow for sale
3442,"Ingrave Road, Brentwood",13251250,3,1 bedroom retirement property for sale
3443,"Kings Road, Brentwood",79507500,3,3 bedroom terraced house for sale
3444,"Brizes Park, Ongar Road, Kelvedon Hatch, Brentwood, CM14",106010000,5,5 bedroom bungalow for sale
3445,"Doddinghurst Road, Pilgrims Hatch, Brentwood, Essex, CM15",50354750,2,2 bedroom semi-detached bungalow for sale
3446,"Cromwell Road, Brentwood CM14",68906500,2,4 bedroom semi-detached house for sale
3447,"Brentwood Road, Herongate, CM13",47704500,4,2 bedroom bungalow for sale
3448,"Hanging Hill Lane, Hutton, CM13",29152750,3,1 bedroom flat for sale
3449,"Florance Close, Great Warley, CM13",148414000,3,4 bedroom detached house for sale
3450,"Chelmsford Road, Shenfield, Brentwood, CM15",60955750,2,3 bedroom detached house for sale
3451,"Brackens Drive, Brentwood",20141900,3,1 bedroom house for sale
3452,"Lombards Chase, West Horndon, Brentwood",45054250,4,3 bedroom terraced house for sale
3453,"River Road, Brentwood",27562600,1,2 bedroom apartment for sale
3454,"Doddinghurst Road, Brentwood",27562600,4,2 bedroom apartment for sale
3455,"Pompadour Close, Brentwood CM14",63606000,3,3 bedroom detached house for sale
3456,"Moat Close (off Church Lane), Doddinghurst, Brentwood",50354750,2,3 bedroom semi-detached house for sale
3457,"Beech Avenue, Brentwood",27562600,4,2 bedroom apartment for sale
3458,"Eagle Way, Great Warley, Brentwood",75267100,3,4 bedroom semi-detached house for sale
3459,"Ongar Road, Brentwood, CM15",201419000,3,4 bedroom detached house for sale
3460,"Spurgate, Hutton, Brentwood, CM13",45054250,2,2 bedroom apartment for sale
3461,"Avenue Road, Brentwood, Essex, CM14",39753750,4,2 bedroom semi-detached bungalow for sale
3462,"Doddinghurst Road, Doddinghurst, Brentwood",45054250,3,2 bedroom semi-detached bungalow for sale
3463,"Brentwood Road, Ingrave, Brentwood",77917350,3,3 bedroom semi-detached house for sale
3464,"The Coverts, Brentwood CM13",106010000,2,3 bedroom detached house for sale
3465,"Days Lane, Pilgrims Hatch, Brentwood, Essex, CM15",185517500,1,5 bedroom detached house for sale
3466,"Mount Avenue, Hutton Mount, CM13",28092650,2,2 bedroom apartment for sale
3467,"Albany Road, Pilgrims Hatch, Brentwood",27562069,3,2 bedroom apartment for sale
3468,"Hutton Road, Brentwood CM15",51944900,3,4 bedroom terraced house for sale
3469,"Copperfield Gardens, Brentwood, Essex, CM14",58305500,5,3 bedroom detached house for sale
3470,"Rayleigh Road, Hutton, Brentwood",50354750,5,3 bedroom terraced house for sale
3471,"Manor Way, Brentwood CM14",42404000,6,2 bedroom cottage for sale
3472,"Great Eastern Road, Warley, Brentwood, Cm14",45054250,5,3 bedroom terraced house for sale
3473,"Crow Green Lane, Pilgrims Hatch, Brentwood",76857250,3,4 bedroom detached bungalow for sale
3474,"Ingrave Road, Brentwood",24382300,4,1 bedroom apartment for sale
3475,"William Hunter Way, Brentwood, CM14",74207000,4,4 bedroom detached house for sale
3476,"Great Fox Meadow, Kelvedon Hatch, Brentwood, Essex, CM15",68906500,1,3 bedroom bungalow for sale
3477,"St Marys Avenue, Shenfield, CM15",37103500,4,2 bedroom apartment for sale
3478,"Station Place, Brentwood CM14",79507500,4,4 bedroom detached house for sale
3479,"Primrose Hill, Brentwood",58305500,2,3 bedroom terraced house for sale
3480,"Rayleigh Road, Brentwood CM13",66256250,4,3 bedroom semi-detached house for sale
3481,"Oliver Road, Brentwood CM15",33923200,5,2 bedroom duplex for sale
3482,"Shenfield Road, Shenfield, CM15",95409000,3,4 bedroom detached house for sale
3483,"Nags Head Lane, Brentwood, Essex, CM14",63606000,2,3 bedroom semi-detached house for sale
3484,"Wid Close, Hutton, CM13",79507500,1,3 bedroom semi-detached house for sale
3485,"Navestockside, Brentwood",45054250,5,2 bedroom terraced house for sale
3486,"Milton Road, Warley, Brentwood",24382300,4,1 bedroom apartment for sale
3487,"Crescent Road, Warley, Brentwood",37103500,2,2 bedroom semi-detached house for sale
3488,"Hope Close, Mountnessing, Brentwood",53005000,3,3 bedroom semi-detached house for sale
3489,"Brentwood Road, Ingrave, CM13",137813000,1,3 bedroom detached house for sale
3490,"Willow Close, Brentwood CM13",63606000,4,5 bedroom semi-detached house for sale
3491,"Nursery Road, Hook End, Brentwood, Essex, CM15",190818000,3,5 bedroom detached house for sale
3492,"Priests Lane, Shenfield, Brentwood",143113500,3,6 bedroom detached house for sale
3493,"Roman Road, Mountnessing, Brentwood",164315500,4,5 bedroom detached house for sale
3494,"The Chase, Seven Arches Road, CM14",37103500,4,3 bedroom duplex for sale
3495,"Hart Street, Brentwood, CM14",71556750,2,4 bedroom detached house for sale
3496,"Hook End Road, Hook End, Brentwood",135162750,2,4 bedroom detached house for sale
3497,"Friars Avenue, Shenfield, Brentwood",31803000,4,1 bedroom apartment for sale
3498,"Elm Gardens, Mountnessing, Brentwood",105479950,2,4 bedroom detached house for sale
3499,"Riseway, Brentwood, Essex",74207000,2,4 bedroom detached house for sale
3500,"Hunter Avenue, Shenfield, Brentwood",42404000,1,2 bedroom semi-detached bungalow for sale
3501,"Arnolds Close, Hutton, Brentwood",103359750,2,4 bedroom detached house for sale
3502,"Holmwood Avenue, Shenfield, Brentwood",104949900,4,5 bedroom detached bungalow for sale
3503,"Dealtree Close, Hook End, Brentwood",55655250,3,3 bedroom semi-detached bungalow for sale
3504,"Woodland Avenue, Brentwood CM13",51414850,2,2 bedroom penthouse for sale
3505,"The Clock Tower, The Galleries, Brentwood, Essex, CM14",22792150,1,1 bedroom apartment for sale
3506,"St. Thomas Road, Brentwood",212019893,2,5 bedroom detached house for sale
3507,"Worrin Road, Shenfield, Brentwood",94348900,2,4 bedroom bungalow for sale
3508,"Langley Drive, Brentwood, CM14",30742900,3,2 bedroom flat for sale
3509,"Chatham Way, Brentwood, CM14",53005000,4,3 bedroom semi-detached house for sale
3510,"Edwards Way, Hutton, CM13",36043400,4,1 bedroom apartment for sale
3511,"Fisher Court, Rhapsody Crescent, CM14",84277950,3,4 bedroom detached house for sale
3512,"Tennyson Road, Hutton, Brentwood, CM13",38693650,3,3 bedroom terraced house for sale
3513,"Wistaria Close, Pilgrims Hatch, Brentwood, Essex",47704500,3,3 bedroom semi-detached bungalow for sale
3514,"Randalls Drive, Hutton, Brentwood",63606000,4,4 bedroom detached house for sale
3515,"Roding Drive, Kelvedon Hatch, Brentwood",84808000,2,4 bedroom detached house for sale
3516,"King Georges Road, Pilgrims Hatch, Brentwood",57245400,2,2 bedroom semi-detached house for sale
3517,"Kimpton Avenue, Brentwood",29682800,2,2 bedroom maisonette for sale
3518,"Mayfield Gardens, Brentwood",79507500,5,4 bedroom semi-detached house for sale
3519,"West Way, Brentwood",46114350,5,2 bedroom apartment for sale
3520,"Halcyon Place, Brentwood",26502500,3,2 bedroom apartment for sale
3521,"Hutton Road, Shenfield, CM15",28092650,3,1 bedroom flat for sale
3522,"Gresham Close, Brentwood CM14",29152750,4,2 bedroom apartment for sale
3523,"Shenfield Road, Shenfield, CM15",63606000,4,4 bedroom link detached house for sale
3524,"Parsonage Field, Doddinghurst, CM15",43994150,2,3 bedroom semi-detached house for sale
3525,"Tarnworth Road, Harold Hill",25442400,4,2 bedroom flat for sale
3526,"Trienna Court, Wendover Gardens, Brentwood",18021700,4,1 bedroom apartment for sale
3527,"Uplands Road, Warley, Brentwood",35513350,4,2 bedroom retirement property for sale
3528,"Ongar Road, Brentwood",47704500,1,2 bedroom terraced house for sale
3529,"Gresham Road, Brentwood, CM14",71556750,7,3 bedroom semi-detached house for sale
3530,"Weald Close, Brentwood, Essex",159015000,2,4 bedroom detached house for sale
3531,"Blackmore Road, Brentwood, CM15",88518350,1,4 bedroom semi-detached house for sale
3532,"Friars Avenue, Brentwood CM15",53005000,5,3 bedroom semi-detached house for sale
3533,"Edwards Way, Hutton, Brentwood",59895650,1,3 bedroom end of terrace house for sale
3534,"Weald Road, South Weald, Brentwood, Essex, CM14",106010000,2,3 bedroom detached house for sale
3535,"Eleanor Way, Warley, CM14",137813000,2,4 bedroom detached house for sale
3536,"Rochford Avenue, Shenfield, Brentwood, CM15",55655250,1,2 bedroom semi-detached bungalow for sale
3537,"Ingreway, Harold Park, RM3",30742900,2,2 bedroom apartment for sale
3538,"Rayleigh Road, Hutton, CM13",47704500,2,2 bedroom bungalow for sale
3539,"Ingreway, Romford, RM3",386936500,2,5 bedroom detached house for sale
3540,"School Road, Kelvedon Hatch, Brentwood, Essex, CM15",127212000,4,5 bedroom detached house for sale
3541,"London Road, Brentwood, CM14",74207000,4,3 bedroom semi-detached house for sale
3542,"Surman Crescent, Hutton, CM13",50354750,3,3 bedroom terraced house for sale
3543,"Ongar Road, Brentwood, CM15",74207000,2,4 bedroom semi-detached house for sale
3544,"Great Fox Meadow, Kelvedon Hatch, CM15",90108500,1,4 bedroom detached house for sale
3545,"Nags Head Lane, Brentwood, CM14",31803000,2,2 bedroom maisonette for sale
3546,"Mayfield Gardens, Brentwood, CM14",143113500,1,4 bedroom detached house for sale
3547,"Spurgate, Hutton, Brentwood",137813000,3,4 bedroom detached house for sale
3548,"Worrin Road, Shenfield, Brentwood, CM15",66256250,2,4 bedroom detached house for sale
3549,"Brackens Drive, Warley, Brentwood, Essex, CM14",14841400,4,1 bedroom ground floor flat for sale
3550,"Kings Road, Brentwood, Essex",206719500,7,7 bedroom barn conversion for sale
3551,"Ashwells Road, Pilgrims Hatch, Brentwood",32598075,3,2 bedroom apartment for sale
3552,"Rollason Way, Brentwood, CM14",24382300,3,1 bedroom apartment for sale
3553,"William Hunter Way, Brentwood",148414000,2,5 bedroom detached house for sale
3554,"Wyatts Green Road, Wyatts Green, Brentwood",34453250,4,1 bedroom apartment for sale
3555,"141-147 High Street, Brentwood CM14",46114350,3,2 bedroom apartment for sale
3556,"141-147 High Street, Brentwood CM14",44524200,3,2 bedroom apartment for sale
3557,"141-147 High Street, Brentwood CM14",33923200,4,1 bedroom apartment for sale
3558,"141-147 High Street, Brentwood CM14",46114350,2,2 bedroom apartment for sale
3559,"141-147 High Street, Brentwood CM14",47704500,4,2 bedroom terraced house for sale
3560,"Britannia Road, Warley, Brentwood",49294650,4,2 bedroom flat for sale
3561,"Rhapsody Crescent, Brentwood CM14",55125200,2,4 bedroom semi-detached house for sale
3562,"Kelvedon Close, Hutton, CM13",90108500,4,4 bedroom semi-detached house for sale
3563,"Hutton Road, Shenfield, CM15",42404000,3,3 bedroom terraced house for sale
3564,"Broomwood Gardens, Pilgrims Hatch, Brentwood, Essex, CM15",50884800,4,2 bedroom apartment for sale
3565,"141-147 High Street, Brentwood CM14",34453250,4,1 bedroom apartment for sale
3566,"141-147 High Street, Brentwood CM14",46114350,4,2 bedroom apartment for sale
3567,"141-147 High Street, Brentwood CM14",33923200,4,1 bedroom apartment for sale
3568,"141-147 High Street, Brentwood CM14",68906500,4,3 bedroom detached house for sale
3569,"The Fairway, Ashwells Road, Pilgrims Hatch, Brentwood, CM15",42404000,1,2 bedroom bungalow for sale
3570,"Ingreway, Harold Park, RM3",103359750,3,4 bedroom detached house for sale
3571,"Mulberry Hill, Shenfield, Brentwood",174916500,1,7 bedroom detached house for sale
3572,"* SIGNATURE HOME * Blackmore Road, Hook End",58305500,4,3 bedroom semi-detached house for sale
3573,"Rushdene Road, Brentwood, Essex, CM15",55655250,2,3 bedroom detached house for sale
3574,"Kiln Field, Hook End, Brentwood",31272950,6,2 bedroom apartment for sale
3575,"Rollason Way, Brentwood, CM14",45054250,,4 bedroom terraced house for sale
3576,"Upper Ryle, Brentwood, Essex, CM14",67846400,2,3 bedroom terraced house for sale
3577,"Brizes Park, Ongar Road, Kelvedon Hatch, Brentwood, CM14",47704500,3,3 bedroom semi-detached house for sale
3578,"Karen Close, Brentwood, CM15",79507500,2,4 bedroom detached house for sale
3579,"West Park Hill, Brentwood, Essex",42297990,2,2 bedroom apartment for sale
3580,"The Galleries, Warley, Brentwood",116611000,3,4 bedroom detached house for sale
3581,"Hanging Hill Lane, Hutton, CM13",95409000,3,4 bedroom semi-detached house for sale
3582,"Chelmsford Road, Shenfield, CM15",42297990,4,2 bedroom apartment for sale
3583,"Rose Court, The Galleries, CM14",79507500,5,4 bedroom semi-detached house for sale
3584,"The Avenue, Brentwood",54595150,4,3 bedroom detached house for sale
3585,"Swan Lane, Kelvedon Hatch",111310500,2,4 bedroom detached house for sale
3586,"Tennyson Road, Brentwood CM13",82157750,2,4 bedroom detached house for sale
3587,"Brook Road, Brentwood, Essex, CM14",84808000,2,4 bedroom detached house for sale
3588,"Willowdene Court, Brentwood, Essex",84808000,4,4 bedroom detached house for sale
3589,"Greenway, Romford",148414000,1,4 bedroom detached house for sale
3590,"Shenfield Place, Shenfield, CM15",20141900,7,1 bedroom flat for sale
3591,"Byfield Court, Station Road, West Horndon",48764600,4,3 bedroom apartment for sale
3592,"Thorndon Park, Ingrave, CM13",26502500,3,1 bedroom apartment for sale
3593,"Queens Road, Brentwood",66256250,3,4 bedroom detached house for sale
3594,"Brentwood Place, Brentwood, CM15",55655250,4,2 bedroom detached bungalow for sale
3595,"Rayleigh Road, Brentwood CM13",455843000,2,6 bedroom detached house for sale
3596,"Greenway, Hutton, Brentwood, CM13",148414000,6,Plot for sale
3597,"Weald Road, South Weald, Brentwood",28622700,2,2 bedroom apartment for sale
3598,"Gainsborough Court, Warley",60955750,5,3 bedroom semi-detached house for sale
3599,"Spital Lane, Brentwood",45054250,6,2 bedroom apartment for sale
3600,"Coptfold House, New Road, Brentwood,",74207000,3,2 bedroom terraced house for sale
3601,"Brizes Park, Ongar Road, Kelvedon Hatch, Brentwood, CM14",81097650,3,3 bedroom terraced house for sale
3602,"Brizes Park, Ongar Road, Kelvedon Hatch, Brentwood, CM14",71556750,2,3 bedroom semi-detached house for sale
3603,"Warley Hill, Great Warley, CM13",116611000,3,4 bedroom detached house for sale
3604,"Nags Head Lane, Brentwood, Essex, CM14",87458250,4,5 bedroom semi-detached house for sale
3605,"Ongar Road, Stondon Massey",106010000,4,4 bedroom detached house for sale
3606,"Watlington Gardens, Great Warley, CM13",39223169,2,2 bedroom terraced house for sale
3607,"Crescent Road, Brentwood CM14",28622700,4,2 bedroom apartment for sale
3608,"Leonard Way, Brentwood",52474950,2,2 bedroom bungalow for sale
3609,"Rushdene Road, Brentwood, CM15",74207000,4,4 bedroom detached house for sale
3610,"Lyndale, Kelvedon Hatch, Essex, CM15",19028795,6,1 bedroom apartment for sale
3611,"Sanders Court, Junction Road, Warley, Brentwood, Essex, CM14 5FG",206719500,3,7 bedroom detached house for sale
3612,"Ashwells Road, Pilgrims Hatch",63606000,6,4 bedroom semi-detached house for sale
3613,"Catherine Close, Pilgrims Hatch, CM15",62015850,5,3 bedroom semi-detached house for sale
3614,"Brentwood Road, Herongate, Brentwood",71556750,4,3 bedroom detached house for sale
3615,"Selwood Road, Brentwood, CM14",90108500,1,4 bedroom detached house for sale
3616,"Chelmsford Road, Shenfield, CM15",53005000,3,2 bedroom end of terrace house for sale
3617,"Milton Road, Warley, CM14",212020000,5,6 bedroom detached house for sale
